bank,country,2024,2025,cet1_change
AS LHV Group,Estonia,18.13,18.43,0.3000000000000007
Akcinė bendrovė Šiaulių bankas,Lithuania,18.91,17.68,-1.2300000000000004
Bank Polska Kasa Opieki,Poland,15.51,16.14,0.6300000000000008
Citadele banka,Latvia,19.14,20.28,1.1400000000000006
Nordea Bank Abp,Finland,15.76,15.11,-0.6500000000000004
OP Osuuskunta,Finland,21.53,20.77,-0.7600000000000016
PKO Bank Polski,Poland,17.84,16.79,-1.0500000000000007
SEB,Sweden,17.6,17.66,0.05999999999999872
Svenska Handelsbanken,Sweden,18.82,18.36,-0.46000000000000085
Swedbank,Sweden,19.8,19.7,-0.10000000000000142
